method,model,dataset_version,test_file_sha256,metric,n_seeds,n_values,seed_list,seed_42,seed_43,seed_44,mean,std,ci_low,ci_high,ci_note
ft,/lustre/mahdamld/ramin/ftm_runtime/models/Qwen3-1.7B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,retrieval_ndcg_at_3,1,0,42,,,,,,,,metric unavailable in source runs
ft,/lustre/mahdamld/ramin/ftm_runtime/models/Qwen3-1.7B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,retrieval_query_coverage,1,0,42,,,,,,,,metric unavailable in source runs
ft,/lustre/mahdamld/ramin/ftm_runtime/models/Qwen3-1.7B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,retrieval_top_3_support_rate,1,0,42,,,,,,,,metric unavailable in source runs
ft,Qwen/Qwen3-1.7B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,json_parse_rate,2,2,"43,44",,83.94,87.96,85.94999999999999,2.842569260369918,,,not reported for fewer than 5 independent seeds
ft,Qwen/Qwen3-1.7B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,schema_validity_rate,2,2,"43,44",,0.0,0.0,0.0,0.0,,,not reported for fewer than 5 independent seeds
ft,Qwen/Qwen3-1.7B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,encoding_object_rate,2,2,"43,44",,83.94,87.96,85.94999999999999,2.842569260369918,,,not reported for fewer than 5 independent seeds
ft,Qwen/Qwen3-1.7B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,completeness_score,2,2,"43,44",,0.8394,0.8796,0.8595,0.02842569260369922,,,not reported for fewer than 5 independent seeds
ft,Qwen/Qwen3-1.7B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,top_1_accuracy,2,2,"43,44",,80.66,85.4,83.03,3.3516861428242417,,,not reported for fewer than 5 independent seeds
ft,Qwen/Qwen3-1.7B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,macro_f1,2,2,"43,44",,0.3905,0.6272,0.50885,0.16737217510685576,,,not reported for fewer than 5 independent seeds
ft,Qwen/Qwen3-1.7B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,exact_task_classification,2,2,"43,44",,80.66,85.4,83.03,3.3516861428242417,,,not reported for fewer than 5 independent seeds
ft,Qwen/Qwen3-1.7B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,exact_kpi_selection,2,2,"43,44",,83.58,87.96,85.77,3.097127701597075,,,not reported for fewer than 5 independent seeds
ft,Qwen/Qwen3-1.7B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,exact_mapping_count,2,2,"43,44",,83.58,87.96,85.77,3.097127701597075,,,not reported for fewer than 5 independent seeds
ft,Qwen/Qwen3-1.7B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,exact_encoding,2,2,"43,44",,82.85,86.5,84.675,2.5809397513309023,,,not reported for fewer than 5 independent seeds
ft,Qwen/Qwen3-1.7B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,encoding_x_accuracy,2,2,"43,44",,83.58,87.23,85.405,2.5809397513309023,,,not reported for fewer than 5 independent seeds
ft,Qwen/Qwen3-1.7B,dashboard_v4,e2df055d0a75c25f53a88cb830a5b6d66411fa179413f352f45ca2f6873829d5,encoding_y_accuracy,2,2,"43,44",,83.58,87.96,85.77,3.097127701597075,,,not reported for fewer than 5 independent seeds
