method_a,method_b,statistic,p_value,p_holm,reject_h0,cliffs_delta,cliffs_magnitude,diff_ci_low,diff_ci_high,mean_diff
prompt_only,rag,132.0,0.2460697958030439,0.7382093874091317,False,-0.1312,negligible,-0.28,0.07,-0.10333333333333332
prompt_only,ft,136.0,0.4229668562297737,0.8459337124595474,False,-0.0712,negligible,-0.26,0.1366666666666667,-0.06333333333333332
prompt_only,ft_rag,42.0,0.00013679274126639232,0.000820756447598354,True,-0.3976,medium,-0.5433333333333333,-0.20999999999999996,-0.3833333333333333
rag,ft,150.0,0.4928487005005012,0.8459337124595474,False,0.0528,negligible,-0.14000000000000004,0.22,0.03999999999999998
rag,ft_rag,65.0,0.005554038381629736,0.022216153526518945,True,-0.3056,small,-0.44,-0.11333333333333334,-0.28
ft,ft_rag,9.5,0.00016244084518680075,0.000820756447598354,True,-0.32,small,-0.46,-0.18,-0.32
